Source,Target,Weight_x,Weight_y,Weight
f419,j9622,0.0143,0.0173,0.011000000000000001
f419,z8711,0.0168,0.0139,0.0155
f419,m109,0.0254,0.0235,0.0225
f419,e890,0.0138,0.0116,0.0133
f419,z91040,0.0118,0.0124,0.012
f419,r32,0.0172,0.0176,0.0151
f419,r6521,0.0163,0.0187,0.0232
f419,f4310,0.0647,0.0625,0.0685
f419,f909,0.0309,0.0312,0.0339
f419,g92,0.0316,0.0326,0.0333
f419,z87820,0.0162,0.0162,0.0145
f419,t380x5a,0.0226,0.0231,0.0273
f419,z87442,0.0177,0.0163,0.0197
f419,f259,0.0138,0.0151,0.0152
f419,z7952,0.0383,0.0389,0.0298
f419,t451x5a,0.019,0.0171,0.0196
f419,f1220,0.0127,0.0187,0.0201
f419,f39,0.0209,0.0197,0.0171
f419,f209,0.0176,0.0198,0.0206
f419,r188,0.0137,0.0147,0.0148
f419,r45851,0.1605,0.18100000000000002,0.1699
f419,r269,0.0136,0.0142,0.0132
f419,r110,0.0148,0.0179,0.0171
f419,r600,0.0124,0.0121,0.0113
f419,z915,0.1049,0.1162,0.102
f419,z886,0.0199,0.0173,0.0197
f419,g893,0.0133,0.0121,0.0115
f419,z791,0.017,0.0156,0.0132
f419,f17290,0.013000000000000001,0.0121,0.0151
f419,m4802,0.0125,0.0122,0.011000000000000001
f419,j45901,0.0123,0.016,0.0115
f419,z818,0.0319,0.0438,0.0433
f419,f1123,0.0385,0.0466,0.0426
f419,c7951,0.0136,0.0124,0.0117
f419,m542,0.0137,0.0126,0.0119
f419,f10229,0.0138,0.0138,0.013999999999999999
f419,z781,0.0107,0.0149,0.0154
f419,f603,0.0181,0.0183,0.0158
f419,z62810,0.0335,0.042,0.0387
f419,z716,0.0203,0.0179,0.0112
f419,r45850,0.013000000000000001,0.0159,0.0134
f419,z91410,0.0143,0.013000000000000001,0.016
f419,f29,0.0164,0.0242,0.0228
f419,z560,0.0334,0.0302,0.0544
f419,f339,0.0142,0.0196,0.0223
f419,f322,0.0112,0.0161,0.0121
f419,f332,0.0505,0.0597,0.0534
f419,f333,0.0129,0.0196,0.0168
f419,z62811,0.0147,0.0216,0.0209
f419,f250,0.015,0.0196,0.0177
f419,z13228,0.0205,0.0178,0.012
i872,i5032,0.0378,0.0292,0.0307
i872,i5033,0.0432,0.0469,0.04
i872,l97919,0.0655,0.0526,0.0502
i872,i878,0.1143,0.0955,0.1127
i872,r600,0.0508,0.0434,0.046
i872,i890,0.1169,0.1198,0.1137
i872,l97929,0.0721,0.0578,0.0514
l03115,i5032,0.0337,0.0338,0.0349
l03115,l97529,0.0406,0.0401,0.0405
l03115,b9561,0.0588,0.055999999999999994,0.0569
l03115,e1140,0.0735,0.0701,0.0709
l03115,b9562,0.0692,0.0628,0.0602
l03115,z590,0.0408,0.042,0.0388
